from,to,amount,miner,mined_amount
12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1153,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,243
1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,19055,14gwBM7uZQ3izxBM7bJWW8dNFy5xteqAor,6296
1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,30082,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,6607
1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,1BtE6E1Dn8u8d7SmdHMC5nS8xPAc7hYDuY,710,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,213
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,11006,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,2598
1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,92703,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,12227
1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,8003,1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,1203
126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,1084,1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,224
14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,4939,1KMEppk1eGa76pawUEdSnkmZpDrqCp6FrN,1118
1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,2026,17i6Y2533pJ3ezfAL5Dh6JVry8xWTxKifz,151
1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,542,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,106
1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,3970,1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,1078
1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,1Dt1XYKUwg8q9xYxL21VpUTy11yHfYxQDu,2723,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,23
1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,7900,1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,964
1HrsHXadv8NjoDuw9zEoctMTS6ojEPz2RS,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,20268,1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,5997
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,6333,1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,172
1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,1JY9x3wJZjUngsAhZC1aKDABeF2AfJA4Yy,8574,1DwrFDDHkkU8TMQahyn6hGtay63QhZncVe,1908
15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,2677,14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,547
1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,9044,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,2555
1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,9049,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,685
1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,1498,14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,134
1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,21098,1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,7024
126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,24,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,2
1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,1HfeKj6okxT9W7KpkFtGZ5veVYS9pJVa15,6629,1GZpsHrqEt9A6Lo24RMeUSrXko3mt84Q4t,724
19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,6138,1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,598
1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,2044,1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,532
19DJUdkYStgkhnZz9fnCDf6rHVydBN5Wek,14zTvKSHNrtHtNoMxzjcFKgv952cP51wS3,1538,18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,210
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,1499,1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,484
1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,12738,1KMEppk1eGa76pawUEdSnkmZpDrqCp6FrN,2570
1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,83,1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,8
1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,1EBmDxYNUozqWbmLK3YFuJeidgC766AoHw,5284,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,399
1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,15164,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,878
1Dt1XYKUwg8q9xYxL21VpUTy11yHfYxQDu,1HfeKj6okxT9W7KpkFtGZ5veVYS9pJVa15,2688,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,467
1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,3749,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,662
1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,27173,1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,8417
1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,2644,16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,718
1AhuUQdovKNjjy7p6BR9LVnRh1KjQ7Hmdy,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,6179,1Jst7ScTCeLVVRasF4512z7xFEMHzKF267,589
1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,1339,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,44
1Fd4k2UNaE4hu1grX5ZERCQaeJmV9FqEnk,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,45,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,5
1CAzFPK2HjTtjbWunEcayGgCr6sC2Enyx8,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,11657,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,1541
1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,64,1KMEppk1eGa76pawUEdSnkmZpDrqCp6FrN,15
1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,1106,19yewcFu7XjV6v9pAuBbfUmZiebbyYEP8Q,194
1Lg8NaH59PjmGXTVpfqekriwE2nRmHsip3,1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,9506,1KMEppk1eGa76pawUEdSnkmZpDrqCp6FrN,2814
17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,3591,1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,545
1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,124,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,33
1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,7253,1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,978
1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,1JY9x3wJZjUngsAhZC1aKDABeF2AfJA4Yy,25510,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,5759
1JY9x3wJZjUngsAhZC1aKDABeF2AfJA4Yy,1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,9861,1bgQAJACqPgPKTW1JdctYw7HoXfvynhy7,1527
1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,199,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,9
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,2622,19a5wU37AZJBgdfiLVHrHwCWvr46BUCvmn,597
1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,3102,1LcxVmwpBa25Lx77kehHHgk12HKX6nscN5,40
1BtE6E1Dn8u8d7SmdHMC5nS8xPAc7hYDuY,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,3193,19yewcFu7XjV6v9pAuBbfUmZiebbyYEP8Q,666
164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,1229,1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,312
1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,1368,12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,392
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,14WrivJi92pLxTRnNYA6Bgo4BH9pnk55uA,2268,19itDtcEVfFvRGFqFBu9YJfwVMbsLNRcCn,567
1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,183,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,59
1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,1KMEppk1eGa76pawUEdSnkmZpDrqCp6FrN,5611,1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,660
1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,694,19oaPJcitCeFuUVxKUdyL8FRtqnMVQ2jGm,143
1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,868,126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,211
1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,61,1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,13
17hkhmJ657YdP5ce9MA85sx6iun153BmFE,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,10493,1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,2095
1DwrFDDHkkU8TMQahyn6hGtay63QhZncVe,1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,212,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,58
1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,683,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,95
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1Lg8NaH59PjmGXTVpfqekriwE2nRmHsip3,682,126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,179
1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,495,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,89
1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,597,1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,194
1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,835,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,78
126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,19,1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,1
1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,939,1KCyDcUGgXsSqgLXafzr7JaSihfHNnuvdN,153
1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,1555,1BunyGETTFLexvLKgz9MBBmw21jyD1pA23,50
1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,20312,1JY9x3wJZjUngsAhZC1aKDABeF2AfJA4Yy,4559
1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,1517,1DkLeoqWSgLL1tXiRySZqNyfjbFVh5M7dT,171
1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,105,1Lg8NaH59PjmGXTVpfqekriwE2nRmHsip3,8
191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,85788,1BTagrcapEX9Fkiidb1MCB9Z37YaNZLAaF,15118
1Dt1XYKUwg8q9xYxL21VpUTy11yHfYxQDu,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,963,13mbFNJeKAcUSEFt17TyPt4EPS7yb8zxA8,62
1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,1ESwpqVm51sicsMQH3C7VQqatGuXzQ12s4,36673,1LpKTLeRhJzqb1njVUabbHfj5YjLLJiaGy,4985
1JSaxNzW2U1uYXDKRB4omuMTwBsa4W7K71,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,273,1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,73
1LNTWMNTtFChq3tthtKvwLhUuWMtSxi8Kz,1Gdu1QJtMyneXZxEarGjvKjrUvsQuhcVce,7671,1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,2234
1ESwpqVm51sicsMQH3C7VQqatGuXzQ12s4,1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,28055,19RL2gsK2XHFBUdaz87roTT6C5AMbHvKR5,2561
19yewcFu7XjV6v9pAuBbfUmZiebbyYEP8Q,1NTqc6MrAyvkLbWbBSPTFp6aqh51WT2eHa,72102,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,18350
1C2QgtnX8uJjdsB7YBXzLVtSnc8HdiaW1W,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,128,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,22
18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,3587,17hkhmJ657YdP5ce9MA85sx6iun153BmFE,38
19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,1bgQAJACqPgPKTW1JdctYw7HoXfvynhy7,2776,1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,633
1PuUTUzvLk3mPBYZZizwkkZfRdVcUnK7PY,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,3428,18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,971
1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,2522,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,76
1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,1844,1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,101
1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,670,1HUcT2pMbbn3wyUmkYQQUAZSqGqRo8b1Rs,155
1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,72645,1KGWCycGbKxyByfYNv6W7f9RWswYgDMGBS,822
1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,3203,1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,351
1FCMALwX3ShRo6gtLrnymk9G9hbfWyQqWv,1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,401,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,85
19RL2gsK2XHFBUdaz87roTT6C5AMbHvKR5,1AHBbPFeC9QEJKdadCf4Z882Z9PoVBnxjh,291,19RL2gsK2XHFBUdaz87roTT6C5AMbHvKR5,73
18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,39110,1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,9589
1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,9045,1HVq1VR2JTRaxaMwNfAzK6WsTvW7c5GcYo,1939
1v75qAzwNxhLAFsCBgrPfRzb1rpcHS7j7,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,41,1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,10
1v75qAzwNxhLAFsCBgrPfRzb1rpcHS7j7,191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,32,1NVv5TMh3RcDHwzbiL6Qa57jKaKFPmSWvu,9
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,340,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,73
1GZpsHrqEt9A6Lo24RMeUSrXko3mt84Q4t,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,2701,1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,684
1HrsHXadv8NjoDuw9zEoctMTS6ojEPz2RS,12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,1097,18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,254
12KtoQP2CSubNWDvLiju4PNE8a8nGDmCKH,12nMmy8JyvdC6wHLyWHe2MqtWQD19dWVg5,2619,1DRytcR9i67Vqsa6raT73i1qBUfdvWZjAM,152
1v75qAzwNxhLAFsCBgrPfRzb1rpcHS7j7,1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,1,1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,1
1L9WUPZehgDPQcDR9fTvM89vaVxKGsBHan,1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,943,1EBmDxYNUozqWbmLK3YFuJeidgC766AoHw,128
164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,1356,1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,27
1KpFNdfRPR33sBcTvG9qv4FWuAnAdnKRye,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,4659,1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,1175
1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,481,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,83
1EAC4NGfjvtsPMfoFfEmKAj1swBoFNaZGG,1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,434,1LxcLFdbXaSJtbqgC7zbgNCwKARX38tPws,116
1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,17cZi6pbLynaqtLSvUHxSBMvSYJa3RMdbd,12537,1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,1343
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,17i6Y2533pJ3ezfAL5Dh6JVry8xWTxKifz,220,1QLFBu69pibsjvm4Hxhb1V78BvEdC9R7nQ,50
1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,15qHKbWXt24PGeWmFGGqX1GrzGgwZFDHfL,25679,164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,2762
1DM8bnAn7gUsa11YHe1MJCDnRuV5u3jdrU,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,1337,1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,314
1Lg8NaH59PjmGXTVpfqekriwE2nRmHsip3,1w19bnfrA9ze17oHjGh6hcw2C2fzgPMsB,2014,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,274
1HfeKj6okxT9W7KpkFtGZ5veVYS9pJVa15,1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,6225,1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,317
1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,1Ao9kmjgcv3zmAswtbpXormfmT6wfthBz7,9001,1Am4idjLCiwwNwPWthGNGTbvTDde4TyHhz,1557
1FZtvE448GJyF5MhmN5ivB62pNPgp1b58W,1LxtJDsMFsT7GCVfXye1RX3Gne7v51KWGg,7519,18EeJMjmAaUqgyVW2gCDrBN9bS82qBGHUS,310
1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,1MNZH6qD2NPyqwggJeXpcLic7919qoJqe8,23292,1HrsHXadv8NjoDuw9zEoctMTS6ojEPz2RS,5327
1HfeKj6okxT9W7KpkFtGZ5veVYS9pJVa15,1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,9830,1Dt1XYKUwg8q9xYxL21VpUTy11yHfYxQDu,905
1KAXC26wA2MAqGC75hDkCeE8p4W6xiwHdt,191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,261,1MroLNii6bv59ZfAv9D9K1F8R7rW88qfsj,50
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,1025,1JjTNeMwCEdtbq2uu9Q7ohV5iMG1CMWxy,244
1AzSMLb39QtshdUjvY5TxwXCsnMRcuo6Lc,1Dt1XYKUwg8q9xYxL21VpUTy11yHfYxQDu,5933,19q4TguRMVR4BWRJ6s3F3cDLtj3u8qDwLE,250
1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,191QUQQMS4CNnGj79BXiRjukTyrfW9kyFX,211,17s2zeW2HqVYFvKs855gpqbqkicpuSaKLv,11
1CHRKZSfpDf6KeaZjSkNUHq9473HWYyNwc,1KnRgBHMwZzzRj7DoNMq66tgbYXpB3wnRb,3699,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,435
1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,1KXFVBSRFeVEnX6uUgFadZCwqUS15NJ8yt,12634,1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,3463
1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,49,19oaPJcitCeFuUVxKUdyL8FRtqnMVQ2jGm,2
1AhuUQdovKNjjy7p6BR9LVnRh1KjQ7Hmdy,17hkhmJ657YdP5ce9MA85sx6iun153BmFE,12772,164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,3466
1GP1BxSFQzBffsr5Ke8WqfpCtm71Zmpign,1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,14,1HrsHXadv8NjoDuw9zEoctMTS6ojEPz2RS,3
1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,1PZhUgGxgPPZ67i8foFU8DerjxWJGGKGSE,17,1ESwpqVm51sicsMQH3C7VQqatGuXzQ12s4,4
1NmombJqagqGRsexABTzPrBGsUy3ByHmTg,1EHvmtnKCy8yB9yvvFP958uAuE1kthqytj,2087,1v75qAzwNxhLAFsCBgrPfRzb1rpcHS7j7,233
164umqoJZv4nqPTZZUdt6P8ptfdv8frhQD,1HLAP4oyhTD1hWVau2eKqQq1EhAiiuS4nB,5301,1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,1667
1GMPbV8gFBrWXwmv5QG7o861fNyJMAEjV5,1Df1oTe73Mw7BXDSxHqjA1FLWLuBMhZ1DG,271,1Er1HgY2K6QyJUEN6d1hMiiYmQL95KZbyo,66
12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,1F1gfiAinHQhfupuknrudeZrxw5ZVMocW2,11390,1CCnsWkLtSTC6rmjog93NpWqsj3Lw8Dpte,506
191F93kVmDroKD9UwAvNoEXp4u8cRGnoru,1MVL4w2rbt2XmHWjPW2U2zJ8FoySJXAJ62,5095,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,954
14yek9VuRsZKuKQ18u8qbZVsubhbHA7dtz,17hkhmJ657YdP5ce9MA85sx6iun153BmFE,2720,18MW5wfuxV1H2oFGdEBaLQLbPxF7yASrX3,575
1F3xDi6HynCarvNTSMfX1WRmjuFGSM6UZn,12AqMUKo2h9w9T34BKsx4uokpDpYqJMXz9,12,19oaPJcitCeFuUVxKUdyL8FRtqnMVQ2jGm,2
1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,33373,1AC5E8Gf6Kn2gUZ5z429PuQLmDrrz3hKi9,1489
126FvKLoTipCUC9ezQuQBaD5WETHfrg9a1,16oMnN1eAdeGMKEvqZTmXSwUuKi86ZZPvU,232,1H5fFNDN896FFHuEm5piZb47aR7t5sSfXi,62
1CFmhH9MQecm3SxjRVv58rTcLSS9RyYRau,1DBzTHJBE4rMUkRJGU2Yyaep1B5verMsEs,2350,1Bj2kmqKfgsQHqvREFtJCKNbBLj47vgVde,557
